transcript_id	gene_name	baseMean	gcn2ko_arg_6h.vs.gcn2ko_rich_6h	gcn2ko_leu_6h.vs.gcn2ko_rich_6h	hct116_arg_3h.vs.hct116_rich_3h	hct116_leu_3h.vs.hct116_rich_3h	hela_arg_mono_3h.vs.hela_rich_mono_3h	hela_leu_mono_3h.vs.hela_rich_mono_3h	hrgfp_arg_6h.vs.hrgfp_rich_6h	hrgfp_leu_6h.vs.hrgfp_rich_6h	ragbq99l_arg_6h.vs.ragbq99l_rich_6h	ragbq99l_leu_6h.vs.ragbq99l_rich_6h	X293t_arg_6h.vs.X293t_rich_6h	X293t_hrgfp_arg_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_argtorin1_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_leu_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_leutorin1_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_richtorin1_3h.vs.X293t_hrgfp_rich_3h	X293t_leu_6h.vs.X293t_rich_6h
ENST00000244534.6	HIST1H1D	1488	0.057	0.097	1.806	0.87	0.539	0.222	0.05	-0.062	0.13	-0.055	-0.016	0.314	0.373	0.222	0.567	0.372	-0.075
ENST00000244571.4	AARS2	153	0.294	0.113	0.516	0.318	0.432	0.125	0.052	-0.064	0.425	0.105	0.173	0.454	0.355	0.04	0.309	0.227	-0.114
ENST00000244573.4	HIST1H1A	43	-2.747	-2.319	-0.332	2.175	-0.217	-0.013	1.748	-0.477	-0.04	-0.493	0.635	2.254	0.137	-0.423	0.473	-0.103	0.13
ENST00000244711.3	MEA1	425	0.246	0.597	-0.75	-0.396	-0.675	-0.514	-0.589	0.2	-0.633	-0.382	-0.669	-0.681	-0.659	-0.494	-0.373	-0.997	-0.193
ENST00000244741.9	CDKN1A	183	-0.225	0.036	0.123	-0.293	0.468	0.475	0.137	0.594	0.137	0.344	0.35	0.613	-0.353	0.205	-0.764	-1.147	0.254
ENST00000244745.2	SOX4	310	0.235	0.178	0.307	0.064	0.31	-0.024	0.763	0.208	0.733	0.299	1.308	0.845	0.038	-0.006	-0.203	0.478	0.557
ENST00000244763.8	SSR1	1265	-0.52	-1.27	-0.053	-0.129	-0.595	-0.166	-0.822	-0.609	-0.928	-0.793	-0.932	-0.529	-0.562	-0.471	-0.369	-0.594	-0.816
ENST00000244815.9	LRRFIP1	465	0.003	-0.079	0.085	0.196	0.235	0.234	-0.089	-0.117	-0.056	-0.03	0.108	-0.091	0.137	0.039	0.102	0.088	0.104
ENST00000245046.6	EMC3	585	-0.023	-0.29	0.274	-0.288	-0.187	0.185	-0.058	-0.236	-0.143	0.011	-0.303	-0.319	-0.577	-0.144	-0.553	-0.54	-0.178
ENST00000245157.9	BBS2	227	0.113	-0.183	0.023	0.075	0.085	0.355	0.739	0.639	0.644	0.633	0.641	0.48	0.97	0.519	0.652	0.828	0.614
ENST00000245185.5	MT2A	671	-1.969	-1.275	-0.514	-0.59	-0.023	-0.055	-0.925	0.178	-1.04	-1.236	-1.159	-0.319	-1.871	-0.303	-0.29	-0.866	-0.361
ENST00000245206.9	GOT2	1545	-0.029	-0.138	0.079	0.047	0.234	0.026	0.306	-0.093	0.099	-0.124	0.266	0.301	-0.325	0.118	-0.151	0.064	0.059
ENST00000245304.4	RAP2A	37	-0.414	-0.327	-0.654	-1.589	-0.909	-0.565	0.385	0.75	0.228	0.092	-0.66	-1.255	-0.075	0.025	0.183	0.27	0.183
ENST00000245323.4	EFNB2	91	-1.808	0.267	-0.332	-0.05	-2.027	-0.52	0.164	0.472	-1.21	-0.396	0.067	-0.842	-0.191	-0.305	-0.365	0.174	0.13
ENST00000245407.7	SLC22A5	131	-0.554	0.294	0.516	0.074	-0.301	-0.165	-0.412	-0.126	-0.62	-0.034	-0.548	-0.299	-0.497	0.078	-0.019	-0.157	-0.46
ENST00000245414.8	IRF1	67	-0.381	-1.199	0.935	0.54	1.241	0.968	-0.164	-0.123	0.298	0.034	0.735	0.609	0.526	-0.26	0.08	0.634	0.13
ENST00000245451.8	BMP4	77	-1.307	-0.665	-0.986	-0.665	-0.461	-0.21	0.41	0.371	-0.585	-0.764	-0.911	0.114	0.113	0.113	0.632	0.18	-0.202
ENST00000245458.10	RPS29	4165	1.116	0.304	-0.614	-0.801	0.622	-0.731	0.158	-0.662	0.829	-0.455	-0.064	0.139	-1.679	-0.824	-1.483	-1.826	-1.058
ENST00000245479.2	SOX9	282	0.631	0.512	0.147	0.313	0.262	0.019	0.05	-0.268	0.48	-0.031	0.424	0.984	0.424	0.436	-0.052	0.262	0.478
ENST00000245539.10	MRPS7	1009	0.127	-0.649	0.025	-0.1	-0.167	-0.547	-0.445	-0.272	-0.155	-0.428	-0.508	-0.045	-0.319	-0.275	-0.309	-0.436	-0.447
ENST00000245543.5	ARMC7	74	-0.162	-0.202	-0.667	0.234	0.148	-0.037	-0.462	0.267	-0.55	-0.241	-0.145	-0.116	-0.556	-0.128	-0.127	-0.133	0.148
ENST00000245544.8	NUP85	649	0.202	-0.014	0.24	0.16	0.372	0.068	0.039	-0.472	0.237	-0.088	-0.01	0.142	0.062	-0.08	-0.022	0.155	-0.154
ENST00000245552.6	NT5C	219	0.474	0.573	-0.155	-0.537	-0.078	-0.246	0.455	0.539	0.615	0.225	0.012	0.465	-0.137	0.395	0.263	-0.057	0.253
ENST00000245564.6	MSTO1	236	-0.138	-0.326	-0.766	-0.104	-0.477	-0.035	-0.08	0.306	-0.387	-0.414	-0.63	-0.21	0.255	0.171	0.266	0.543	-0.307
ENST00000245615.5	MBOAT7	388	-0.104	-0.203	0.198	0.096	-0.241	-0.138	0.063	0.019	0.108	-0.019	-0.123	0.252	0.21	0.123	0.134	-0.081	-0.012
ENST00000245680.6	SLC35F5	231	0.158	0.336	0.668	0.192	-1.079	-0.088	-0.796	-0.094	-0.863	-0.443	-0.483	-0.611	0.013	-0.065	0.088	0.145	-0.01
ENST00000245787.8	INSIG2	121	0.202	0.355	-0.143	0.447	0.261	0.228	-0.263	0.31	-0.955	-0.618	0.081	-0.853	0.111	-0.057	0.17	-0.298	0.432
ENST00000245812.7	ALKBH7	173	-0.29	0.268	-0.194	0.081	-0.113	-0.5	-0.13	-0.048	0.07	-0.03	-0.377	-0.087	-0.713	-0.382	-0.761	-0.862	-0.634
ENST00000245816.8	CLPP	573	0.183	-0.132	-0.234	-0.128	-0.22	-0.349	-0.049	0.029	-0.02	-0.123	-0.38	0.047	-0.55	-0.03	-0.37	-0.567	-0.213
ENST00000245838.12	THOC2	1055	0.412	0.289	0.913	0.566	0.635	0.208	0.54	-0.22	0.669	0.61	0.627	0.454	0.626	0.1	0.16	0.72	0.423
ENST00000245925.7	EML2	102	0.252	0.48	0.549	0.108	0.068	0.179	0.564	0.536	0.369	0.573	0.387	0.697	0.073	0.48	0.704	0.181	-0.187
ENST00000245932.10	VASP	208	-0.196	0.02	0.09	-0.313	0.111	0.049	-0.127	0.021	-0.299	-0.15	-0.839	0.249	-0.426	-0.06	-0.2	-0.167	-0.168
ENST00000245934.11	SYMPK	576	0.022	0.057	0.579	0.151	0.111	0.029	0.266	0.102	0.374	0.476	0.174	0.246	0.034	0.145	0.266	0.073	0.245
ENST00000245960.9	CDC25B	398	-0.531	-0.446	0.145	0.023	-0.235	-0.386	-0.538	-0.146	-0.466	-0.351	-0.555	-0.139	-0.558	-0.339	-0.375	-0.294	-0.184
ENST00000246024.6	TMX4	189	-0.154	0.581	0.031	-0.45	-0.192	-0.294	-0.22	0.282	-0.179	0.02	-0.275	-0.158	0.376	0.021	0.394	-0.014	0.354
ENST00000246041.6	AP5S1	66	0.956	0.441	0.109	-0.374	0.088	-0.114	1.026	0.678	0.801	0.365	0.845	0.953	0.793	0.496	0.955	0.907	0.102
ENST00000246069.11	DSTN	1546	-0.81	-0.443	-0.323	-0.096	-0.364	-0.351	-0.392	-0.106	-0.448	-0.405	-0.539	-0.666	-0.593	-0.403	-0.206	-0.548	-0.463
ENST00000246071.7	SNRPB2	1213	-0.307	-0.132	0.181	0.339	-0.203	0.056	-0.069	-0.244	-0.12	-0.08	-0.214	-0.239	-0.155	-0.196	-0.401	-0.045	-0.077
ENST00000246117.8	NCLN	490	0.385	-0.336	-0.588	-0.535	-0.314	-0.298	-0.507	-0.611	-0.209	-0.332	-0.669	0.16	-0.906	-0.029	-0.733	-0.855	-0.574
ENST00000246151.8	PITHD1	388	0.715	0.23	0.262	0.027	-0.153	-0.047	0.406	0.228	0.812	0.696	0.389	0.428	-0.147	0.08	0.151	0.069	0.253
ENST00000246166.2	FNTB	152	0.693	0.35	0.291	0.292	-0.448	-0.24	0.202	-0.264	-0.049	-0.065	0.264	0.426	0.216	-0.024	0.184	0.262	0.031
ENST00000246174.6	ARMCX5	109	-1.153	-0.111	0.327	0.614	0.252	0.087	0.733	0.321	0.136	0.2	0.488	0.459	0.709	0.385	0.651	0.878	0.572
ENST00000246190.10	NECAB3	73	0.447	0.005	-0.219	-0.155	0.372	-0.243	0.079	0.312	0.003	-0.471	-0.11	0.558	-0.102	-0.002	-0.281	0.037	-0.209
ENST00000246194.7	RALY	668	0.146	-0.447	0.022	0.051	-0.4	-0.244	-0.133	0.117	-0.007	-0.229	0.082	0.039	-0.076	-0.047	-0.134	-0.016	0.055
ENST00000246229.4	PLAGL2	68	-0.697	-0.665	-0.817	0.199	-0.461	0.07	-0.029	-0.366	-1.088	-0.728	-0.141	-0.438	-0.353	0.148	0.236	-0.475	-0.67
ENST00000246337.8	UROD	642	-0.436	-0.444	-0.121	0.074	0.035	0.002	0.11	0.262	0.124	0.072	0.008	0.357	0.184	0.201	0.094	0.093	-0.046
ENST00000246421.4	SLC35E2	36	-1.433	-0.292	-0.162	0.903	0.432	0.483	0.385	1.108	-0.352	0.892	0.72	-0.15	0.249	0.096	-0.093	0.469	1.016
ENST00000246533.7	CAPNS1	1443	-0.149	-0.294	-0.4	-0.169	-0.282	-0.09	0.038	0.081	0.004	-0.18	-0.156	0.017	-0.178	-0.099	-0.109	-0.245	-0.217
ENST00000246535.3	PDCD2L	295	0.271	-0.033	-0.403	-0.44	-0.577	-0.343	0.106	0.316	0.154	0.193	0.018	-0.298	-0.297	-0.287	-0.213	-0.436	0.065
ENST00000246548.8	UBA2	1850	0.138	0.003	-0.203	-0.183	-0.338	-0.114	0.009	-0.081	-0.106	-0.081	-0.186	-0.354	-0.219	-0.149	-0.39	-0.191	-0.004
ENST00000246554.7	COX6B1	1986	0.213	-0.724	-0.568	-0.519	-0.158	-0.143	-0.325	-0.271	0.123	-0.894	-0.3	-0.048	-0.6	-0.177	-0.403	-0.671	-0.551
ENST00000246672.3	NR1D1	149	-1.597	-0.581	2.028	0.43	1.042	0.242	0.092	0.108	0.75	-0.059	0.635	0.377	0.137	-0.234	-0.779	-0.103	-0.26
ENST00000246747.8	ARL2	565	-0.012	-0.513	0.041	-0.045	-0.138	0.006	-0.086	0.259	-0.12	-0.419	-0.219	0.016	-0.76	-0.011	-0.353	-0.424	-0.255
ENST00000246785.7	BCL2L12	303	-0.592	0.156	-0.297	-0.312	-0.153	-0.119	-0.821	0.258	-0.625	-0.214	-1.097	-0.506	-0.681	-0.252	-0.042	-0.579	-0.207
ENST00000246792.3	RRAS	49	0.015	0.123	-0.091	-0.054	-0.42	-0.337	0.071	0.371	0.138	-0.383	-0.46	-0.536	0.236	-0.323	-0.013	-0.518	-0.38
ENST00000246802.9	GLTSCR2	582	0.36	0.242	-0.002	-0.022	0.371	-0.232	-0.045	-0.153	0.476	0.41	0.093	-0.271	-1.224	-0.797	-1.058	-1.031	-0.21
ENST00000246868.6	SBDS	852	0.423	-0.3	0.003	-0.032	-0.298	-0.338	0.101	-0.299	-0.143	-0.558	-0.012	-0.216	-0.243	-0.301	-0.447	-0.232	-0.312
ENST00000246912.8	MLX	319	0.484	0.196	-0.27	-0.214	-0.285	-0.082	-0.224	-0.024	-0.056	-0.295	-0.209	-0.652	-1.352	-0.525	-0.654	-1.198	-0.305
ENST00000246957.9	TRAP1	2339	-0.104	-0.211	0.142	0.066	-0.09	-0.019	0.095	-0.081	0.118	0.006	0.129	0.114	-0.188	-0.025	-0.225	-0.202	-0.077
ENST00000247001.9	SUGP1	243	0.872	0.731	0.52	0.294	0.851	0.411	0.382	0.203	0.458	0.671	0.121	0.29	-0.218	0.322	-0.023	0.146	0.211
ENST00000247003.8	DDX49	441	0.067	-0.442	-0.073	0.065	0.131	-0.411	-0.23	-0.01	0.143	-0.132	-0.157	0.036	-0.604	-0.108	-0.272	-0.187	-0.125
ENST00000247020.8	SDF2	248	-0.281	-0.711	-0.472	-0.447	-0.834	-0.427	-0.924	-0.335	-0.725	-0.819	-0.709	-0.222	-0.037	-0.238	-0.171	-0.55	-0.46
ENST00000247026.9	NSRP1	412	1.023	0.37	0.732	0.286	0.859	0.296	0.409	0.461	1.113	1.02	0.447	0.235	0.297	0.145	-0.13	0.015	0.391
ENST00000247138.10	SLC35A2	220	0.161	0.824	0.017	0.185	-0.315	-0.197	-0.133	0.032	0.204	0.61	-0.247	0.495	0.124	0.372	0.152	-0.116	0.124
ENST00000247161.7	ELK1	81	0.283	0.744	-0.052	-0.105	-0.857	-0.192	0.253	0.488	-0.003	0.213	-0.097	0.411	0.321	0.464	0.714	0.245	-0.124
ENST00000247178.5	ATG14	66	-0.263	0.077	0.508	0.507	0.727	0.655	-0.15	-0.122	-0.233	-0.264	-0.48	-0.289	-0.21	0.067	-0.755	-0.556	-0.178
ENST00000247182.6	SIX1	346	0.368	0.748	-0.12	-0.056	-0.015	-0.054	0.602	-0.065	0.475	0.042	0.533	0.958	0.671	0.562	0.374	0.469	0.063
ENST00000247191.6	DLGAP5	929	-0.417	-0.198	0.514	0.432	0.158	0.146	-0.053	-0.568	-0.067	-0.205	-0.158	0.006	0.209	-0.063	-0.124	0.509	-0.134
ENST00000247194.8	L3HYPDH	132	0.031	-0.156	-0.846	-0.13	-0.618	0.161	-0.121	-0.027	-0.387	0.033	-0.478	-0.042	-0.2	0.13	0.155	-0.17	-0.192
ENST00000247207.6	HSPA2	39	-2.509	-1.815	-1.595	-1.53	-2.318	-0.573	-2.125	-1.624	-3.34	-2.245	-2.009	-1.232	-1.714	-1.326	-2.279	-0.903	-1.656
ENST00000247225.6	SGPP1	191	-0.957	0.039	0.145	0.442	0.349	0.161	-0.135	0.187	-0.364	0.343	-0.262	0.227	-0.263	0.4	0.083	0.126	0.315
ENST00000247226.12	PLEKHG3	108	-0.144	0.207	-0.332	-0.117	-0.067	0.356	-0.216	-0.26	-0.258	0.023	-0.224	-0.311	-0.328	-0.119	-0.188	-0.194	-0.057
ENST00000247291.7	AIF1L	116	-1.77	-0.55	-1.683	-0.722	-1.693	-0.51	-0.991	0.126	-0.84	-0.313	-1.032	-0.542	-0.377	-0.094	-0.534	-0.842	-0.293
ENST00000247452.3	MAGEC2	22	0.046	0.316	-0.332	-0.267	0.432	0.683	0.89	0.746	-0.33	-0.537	0.465	0.227	2.011	-0.008	1.21	-0.688	0.661
ENST00000247461.8	CANX	8088	-0.072	-0.415	-0.169	-0.059	-0.132	0.061	-0.51	-0.495	-0.422	-0.331	-0.364	-0.434	-0.357	-0.236	-0.38	-0.407	-0.347
ENST00000247655.3	COX7C	3836	-0.466	-0.509	-0.365	-0.39	-0.365	-0.081	-0.265	0.177	-0.24	-0.085	-0.479	-0.329	-0.381	-0.085	-0.142	-0.576	-0.35
ENST00000247665.11	PHPT1	454	0.045	-0.501	-0.779	-0.449	-0.141	-0.256	0.147	0.205	0.089	-0.646	-0.099	-0.161	-0.836	-0.384	-0.374	-0.637	-0.35
ENST00000247668.6	TRAF2	161	0.859	0.285	-0.228	-0.097	0.259	0.209	-0.196	-0.086	-0.247	-0.32	-0.167	0.063	-0.303	-0.134	-0.105	-0.156	-0.235
ENST00000247815.8	HELB	116	0.532	0.587	1.037	0.396	1.029	0.351	0.586	0.27	0.68	0.548	0.711	0.628	0.946	0.503	0.76	0.495	0.338
ENST00000247843.6	YEATS4	392	0.202	0.369	-0.343	-0.426	-0.338	-0.042	0.453	0.216	0.27	-0	0.197	-0.174	0.429	0.22	0.261	0.292	0.185
ENST00000247866.8	NDUFB2	1152	-0.258	-0.521	-0.561	-0.503	-0.185	-0.117	-0.356	0.083	-0.473	-0.733	-0.498	-0.347	-0.614	-0.269	-0.255	-0.645	-0.39
ENST00000247930.4	ZNF777	137	0.228	0.425	-0.192	-0.422	0.811	0.039	0.356	0.22	-0.049	-0.01	0.236	0.185	0.358	0.166	0.616	0.527	0.114
ENST00000247956.10	ZNF317	156	-0.674	-0.529	0.704	0.512	0.322	0.642	0.123	0.188	0.393	0.35	0.228	0.046	0.035	0.189	-0.179	-0.016	0.267
ENST00000247970.8	PIN1	369	-0.445	-0.42	-0.464	-0.45	-0.774	-0.333	-0.296	0.25	-0.061	-0.128	-0.38	-0.122	-0.526	-0.182	-0.186	-0.791	0.042
ENST00000247977.8	FBXL12	115	0.91	0.612	0.267	-0.004	0.641	0.714	0.035	0.282	0.449	0.325	0.014	0.49	0.107	0.224	0.113	0.118	-0.104
ENST00000248054.9	SIN3B	244	-0.068	-0.314	0.261	0.208	0.199	0.052	-0.095	-0.02	0.103	0.024	-0.03	0.174	-0.239	0.086	0.053	-0.098	-0.035
ENST00000248070.10	EPS15L1	326	0.149	-0.112	-0.175	-0.254	-0.096	-0.134	0.017	-0.129	0.098	0.193	0.169	-0.012	-0.184	0.037	0.004	0.082	-0.04
ENST00000248071.5	KLF2	42	1.586	-0.362	1.772	0.061	1.998	1.039	1.305	0.938	1.182	-0.493	1.287	-0.188	-0.085	0.229	1.25	0.26	0.13
ENST00000248098.7	HN1L	601	-0.363	-0.517	-0.427	-0.121	-0.494	-0.259	-0.259	-0.354	-0.417	-0.712	-0.387	-0.09	-0.398	-0.237	-0.098	-0.185	-0.364
ENST00000248114.6	GFER	148	0.213	0.132	-0.332	0.015	0.102	0.031	-0.124	0.111	0.368	0.221	0.114	0.126	-0.771	-0.394	-0.02	-0.516	-0.173
ENST00000248139.7	RAB40C	49	-0.248	0.32	-0.694	-0.63	-0.093	-0.342	-0.053	0.22	0.02	0.274	-0.007	-0.021	-0.213	-0.105	-0.42	-0.017	-0.226
ENST00000248244.5	TICAM1	45	-1.17	-1.199	-0.079	-0.033	-0.383	-0.232	-0.078	-0.477	0.474	0.022	-0.839	-0.674	-0.67	0.677	0.665	0.26	-0.344
ENST00000248248.7	MON1B	108	-0.145	0.055	0.211	-0.206	0.452	-0.003	0.105	0.263	-0.013	0.378	0.174	0.495	0.508	0.655	0.335	0.525	0.32
ENST00000248306.7	METTL25	77	0.272	0.374	-0.01	-0.267	0.07	-0.286	0.784	0.512	1.011	1.035	0.425	0.763	0.489	0.539	0.617	0.568	0.3
ENST00000248342.8	EIF3K	2133	-0.654	0.202	-0.552	-0.226	-0.605	-0.361	-0.423	-0.015	-0.542	-0.024	-0.594	-0.253	-0.698	-0.006	-0.648	-0.807	-0.298
ENST00000248378.5	EMC6	240	-0.136	0.193	-0.048	-0.157	-0.592	0.133	-0.88	-0.367	-0.696	-0.353	-0.75	-0.791	-0.452	-0.379	0.075	-0.316	-0.412
ENST00000248437.8	TUBA4A	534	-0.521	-1.15	-0.355	-0.422	-0.669	-0.201	-0.731	-1.226	-0.593	-0.537	-0.592	0.238	0.089	-0.125	0.002	-0.034	-0.626
ENST00000248450.8	AAMP	910	0.208	0.032	-0.12	-0.219	-0.244	-0.188	-0.132	0.098	-0.285	-0.133	-0.184	0.273	-0.266	0.052	0.117	0.132	0.01
ENST00000248553.6	HSPB1	1670	-0.789	-0.569	-0.732	-0.411	-0.792	-0.265	-0.802	-0.44	-0.616	-0.669	-0.66	0.31	-0.115	0.099	-0.094	-0.299	-0.532
ENST00000248564.5	GNG11	221	-1.11	-0.551	-0.332	-0.267	0.44	-0.227	0.216	0.661	-0.504	-0.605	0.442	-0.866	-0.361	-0.548	-0.72	-1.366	0.715
ENST00000248566.3	SHFM1	1218	-0.855	-0.564	-0.808	-0.603	-0.608	-0.02	-0.881	0.242	-0.68	-0.294	-0.643	-0.45	-0.051	0.105	0.092	-0.465	0.052
ENST00000248594.10	PTPN12	209	0.195	0.239	-0.138	0.199	0.41	0.31	0.393	-0.115	0.044	0.006	0.309	-0.178	0.418	-0.125	0.257	0.235	0.37
ENST00000248600.5	STYXL1	136	0.804	0.221	-0.38	-0.048	-0.191	-0.061	0.117	-0.046	0.213	0.11	0.259	0.434	0.45	0.291	0.495	0.077	0.025
ENST00000248633.8	PEX1	147	0.269	0.211	0.154	0.048	0.293	-0.202	0.771	-0.004	0.36	0.087	0.364	0.365	0.298	-0.01	0.049	0.103	-0.141
ENST00000248668.4	LRFN1	69	-0.613	-0.484	-2.173	-0.484	-1.494	-0.395	-0.577	-0.618	-0.555	-0.382	-0.969	-0.717	-0.821	-0.394	-0.056	-0.611	-1.059
ENST00000248846.9	TUBGCP6	149	0.546	-0.012	0.832	0.515	0.927	0.581	0.148	0.324	0.232	0.019	0.661	0.273	0.072	-0.353	0.252	0.27	0.412
ENST00000248879.7	DGCR6L	124	0.763	0.776	0.016	0.559	0.542	-0.658	0.462	0.837	0.904	0.735	0.241	0.143	0.22	0.133	0.424	-0.038	0.489
ENST00000248924.10	GCAT	143	0.214	-0.142	-0.354	-0.246	-0.207	-0.409	0.318	0.689	0.203	-0.146	-0.058	0.227	-0.097	0.198	0.156	-0.093	-0.165
ENST00000248929.13	SGSM3	148	-0.183	-0.201	-0.497	0.047	0.444	0.431	0.425	0.564	0.024	-0.218	0.175	0.43	0.369	0.173	0.514	0.304	0.169
ENST00000248958.4	SDF2L1	318	-0.09	-1.14	-0.591	-0.883	-0.225	-0.437	-0.174	-0.292	-0.322	-0.96	-0.505	-0.051	-0.629	-0.351	-0.308	-0.767	-0.797
ENST00000248975.5	YWHAH	1079	-0.425	-0.161	-0.262	-0.3	-0.367	-0.149	-0.793	-0.727	-0.446	-0.649	-0.443	-0.413	-0.386	-0.432	-0.215	-0.397	-0.873
ENST00000249014.4	CDC42EP1	458	0.03	-0.704	0.025	0.137	1.084	-0.288	0.539	0.48	0.801	0.505	0.655	-0.037	-0.5	-0.276	-0.629	-0.888	0.45
ENST00000249042.7	TST	182	0.87	0.311	0.303	0.07	-0.464	-0.18	0.235	0.077	0.612	-0.05	0.139	0.318	-0.576	-0.342	-0.522	-0.325	0.004
ENST00000249064.8	CCDC117	298	-0.921	-0.165	0.076	-0.074	-0.59	-0.197	-0.65	-0.093	-0.82	-0.108	-0.531	-0.225	0.13	0.102	0.099	-0.014	-0.358
ENST00000249066.10	APOL2	73	-0.274	-1.32	0.022	-0.045	0.099	-0.147	0.276	-0.178	0.451	0.228	0.25	0.381	0.065	-0.268	0.01	0.152	0.13
ENST00000249071.10	RAC2	42	1.693	-2.319	-0.272	-0.041	-0.89	-0.137	0.89	0.523	-0.04	1.507	-1.95	-0.188	0.137	-0.423	-1.97	-2.546	-0.87
ENST00000249269.8	PMPCB	1071	0.302	-0.326	-0.048	-0.103	0.18	0.065	0.535	0.045	0.327	-0.086	0.287	0.245	0.043	0.15	-0.145	0.035	-0.018
ENST00000249289.4	ATP6V1F	975	-0.074	-0.314	-0.398	-0.284	-0.57	-0.158	-0.141	0.087	-0.189	-0.449	-0.504	-0.135	-0.898	-0.196	-0.462	-0.773	-0.28
ENST00000249299.6	LSM8	650	0.965	0.637	-0.127	-0.199	0.258	-0.308	-0.301	0.321	-0.062	-0.001	-0.427	-0.178	0.019	0.115	-0.042	-0.344	-0.084
ENST00000249330.2	VGF	75	0.915	0.86	0.208	-0.385	-3.01	-2.76	0.305	0.331	1.545	1.966	1.957	0.397	-1.863	-0.101	0.058	0.219	-0.87
ENST00000249356.3	DNAJB9	102	-0.219	-0.662	0.561	0.358	0.364	0.084	0.451	0.324	-0.087	-0.637	0.2	-0.081	0.232	-0.008	0.423	0.312	-0.115
ENST00000249364.8	CALU	1862	-0.128	-0.636	-0.287	-0.157	-0.227	-0.04	-0.419	-0.155	-0.517	-0.435	-0.304	-0.374	-0.11	-0.206	-0.165	-0.457	-0.091
ENST00000249396.11	SIRT2	154	-0.325	-0.422	-0.08	0.199	0.094	0.289	-0.138	0.085	0.099	-0.003	-0.305	0.275	0.249	0.072	0.343	0.192	-0.044
ENST00000249442.10	MTX2	425	0.38	0.261	-0.659	-0.29	-0.094	0.101	0.315	0.577	0.037	0.258	-0.027	0.054	0.458	0.4	0.334	0.355	0.457
ENST00000249501.4	HOXD10	32	1.648	0.751	-2.775	-2.71	0.432	0.683	0.876	0.436	1.083	0.254	0.964	1.235	1.321	1	1.335	0.482	0.573
ENST00000249504.6	HOXD11	208	1.653	0.887	0.668	-0.267	-0.375	-0.54	0.747	0.624	1.11	0.436	0.751	0.682	0.504	0.234	0.272	-0.165	0.341
ENST00000249636.10	PIAS1	401	0.054	0.034	0.759	0.623	0.273	0.241	0.264	-0.564	0.289	0.051	0.235	0.061	0.241	-0.111	-0.038	0.244	-0.112
ENST00000249647.7	SNAP23	398	0.385	-0.29	-0.171	-0.185	0.075	0.15	-0.097	-0.053	-0.207	-0.353	0.026	-0.03	0.009	0.196	-0.054	-0.092	0.113
ENST00000249750.8	ALDH1A2	252	0.095	0.268	0.99	1.055	-0.391	0.803	-0.28	0.025	-0.077	0.064	0.136	-0.188	-0.597	-0.04	-0.657	-0.515	0.294
ENST00000249776.12	KNSTRN	434	-0.345	0.079	-0.499	-0.267	-0.447	0.036	-0.481	-0.248	-0.339	-0.214	-0.367	-0.227	0.052	-0.228	0.051	-0.226	-0.526
ENST00000249786.8	SERF2	1592	0.224	-0.421	-0.144	-0.333	0.028	-0.144	0.131	0.448	0.185	-0.475	-0.047	0.462	0.141	0.1	0.143	-0.509	-0.077
ENST00000249806.9	CLN6	477	0.849	1.09	-0.158	0.151	-0.248	-0.325	-0.067	0.117	0.183	0.578	-0.186	0.094	-0.528	0.02	-0.379	-0.575	0.166
ENST00000249822.8	ARPP19	384	-0.29	-0.608	-0.678	-0.204	-0.67	-0.238	-0.472	-0.231	-0.627	-0.589	-0.543	-0.066	0.115	0.251	0.455	-0.121	-0.017
ENST00000249837.7	VPS13C	296	-0.009	0.033	0.414	0.271	0.751	0.802	0.57	0.085	0.261	0.395	0.587	0.353	0.274	0.162	0.223	0.312	0.379
ENST00000249861.8	THAP10	48	0.533	1.341	0.806	-0.004	0.177	-0.134	0.568	0.751	0.228	0.319	0.751	0.916	1.1	0.364	0.705	1.001	0.289
ENST00000249883.9	AMOTL2	260	1.987	1.223	0.957	-0.187	1.26	0.625	1.7	0.626	1.486	0.223	0.413	1.508	0.894	0.162	0.497	0.82	0.007
ENST00000249910.5	MBD4	231	-0.037	0.399	0.707	0.394	0.301	0.291	0.165	0.13	0.167	0.324	0.298	-0.099	-0.028	-0.259	-0.144	-0.314	0.392
ENST00000249923.7	COPB1	1785	0.152	0.127	0.638	0.428	0.474	0.185	0.445	-0.407	0.44	0.2	0.595	0.196	0.531	0.04	0.003	0.562	0.263
ENST00000250024.8	E2F8	125	0.072	0.431	0.78	0.222	1.091	0.564	0.506	-0.079	0.897	0.804	0.498	-0.331	-0.512	-0.031	-0.006	-0.223	0.305
ENST00000250076.7	ZNF232	56	0.045	0.145	-0.719	-0.267	0.331	0.029	0.68	1.054	0.326	0.449	0.335	0.142	-0.384	-0.359	-0.25	-0.825	0.16
ENST00000250101.9	TXNDC17	635	-0.323	-0.019	-0.502	-0.225	-0.786	-0.181	-0.609	0.01	-0.824	-0.456	-0.708	-0.395	-0.31	-0.164	-0.078	-0.326	-0.357
